ZIP,Population
04401,44572
04240,36097
04103,30970
04901,26834
04106,25823
04330,25687
04005,23345
04210,23064
04011,20534
04074,19713
04072,19342
04092,18417
04062,18270
04102,17494
04038,17307
04101,17252
04073,16302
04605,13955
04105,11806
04345,11440
04043,11343
04530,10891
04090,10235
03909,9997
04938,9855
04730,9797
04976,9752
04736,9177
04769,9162
04468,9156
04412,9123
04107,9102
04915,8981
04444,8946
04086,8763
04096,8501
04032,8387
04064,8327
04093,8202
04473,8151
03904,7860
04046,7818
04084,7766
03901,7620
04039,7562
04002,7530
03908,7420
04963,7257
04841,7190
04280,6744
04937,6546
03903,6484
04021,6483
04270,6274
04027,6230
04364,5917
04457,5787
04282,5772
04260,5723
04276,5705
04274,5605
04416,5497
04609,5425
04009,5306
04071,5152
04281,5131
04572,4993
04268,4969
04252,4846
04843,4834
04864,4718
03906,4712
04950,4683
04083,4665
04239,4659
04462,4618
04042,4553
04426,4546
04429,4545
04743,4527
04578,4365
04236,4362
04957,4164
04358,4162
04862,4146
04989,4132
04967,4065
04930,4056
04250,4050
04294,4005
04222,3931
04055,3920
04496,3898
04079,3868
04015,3824
04037,3814
04097,3766
04049,3727
04849,3693
04474,3666
04350,3622
04856,3384
04357,3378
04927,3355
04742,3333
04217,3279
04287,3235
04953,3226
04654,3209
04259,3208
04756,3207
04040,3191
04463,3190
04254,3143
04579,3089
04220,3085
04757,3016
04048,3005
04619,2998
04348,2981
04461,2980
04061,2978
04456,2963
04428,2963
04256,2935
04344,2916
04008,2844
04917,2840
04427,2830
04419,2789
04861,2782
04076,2710
04614,2663
04030,2654
04257,2617
04974,2593
03902,2593
04258,2580
04469,2578
04363,2572
04001,2565
04355,2553
04351,2547
04347,2506
04224,2493
04443,2430
04981,2419
04924,2364
04353,2363
04988,2348
04085,2307
04785,2264
04289,2259
04263,2233
04750,2228
04694,2193
04911,2171
04087,2171
04562,2130
04472,2115
04640,2093
04253,2082
04537,2069
04965,2068
04910,2050
04971,2041
04928,2032
04543,2028
04346,1996
04786,1952
04538,1942
04047,1899
04493,1899
04342,1891
04952,1886
03905,1866
04983,1857
04958,1826
04634,1808
04941,1777
04238,1775
04430,1767
04041,1739
04418,1727
04679,1722
04966,1719
04553,1704
04732,1694
04920,1681
04069,1677
04441,1675
04986,1673
04943,1665
04627,1657
04555,1641
04219,1640
04668,1640
04652,1607
04684,1599
04029,1598
04847,1583
04658,1581
04921,1581
04411,1570
04488,1563
04955,1557
04068,1548
04854,1537
04860,1537
04563,1529
04973,1508
04449,1496
04352,1489
04354,1462
04574,1456
04448,1455
04290,1443
04667,1430
04970,1427
04010,1410
04422,1409
04630,1384
04110,1372
04758,1368
04858,1365
04088,1363
04631,1351
04664,1343
04942,1333
04747,1324
04947,1313
04649,1295
04020,1278
04414,1273
04479,1272
04969,1270
04022,1257
04666,1251
04460,1224
04421,1214
04450,1214
04607,1199
04932,1192
04680,1182
04095,1181
04476,1180
04606,1172
03907,1163
04410,1150
04434,1121
04740,1109
04622,1101
04660,1084
04556,1082
04863,1081
04681,1074
04051,1071
04765,1070
04435,1069
04922,1062
04539,1059
04676,1059
04643,1053
04655,1050
04349,1049
04292,1034
04987,1023
04265,1022
04945,1022
04951,1019
04939,1011
04776,1003
04438,1001
04547,987
04284,974
04912,933
04745,933
04221,928
04487,924
04956,920
04548,917
04554,911
04623,910
04091,907
04108,896
04859,890
04459,889
04979,884
04739,870
04929,845
04535,842
04961,827
04772,825
04949,818
04617,814
04551,797
04455,788
04424,785
04780,778
04648,765
04628,757
04763,756
04978,746
04453,745
04848,734
04616,713
04734,711
04066,687
04760,677
04471,666
04735,634
04255,625
04544,624
04406,624
04787,620
04475,610
04653,607
04564,602
04773,602
04984,600
04576,587
04982,570
04781,568
04024,563
04774,548
04762,544
04464,528
04761,524
04671,523
04923,514
04783,508
04853,501
04481,497
04360,494
04626,484
04063,482
04674,475
04573,471
04495,469
04612,468
04685,449
04611,447
04662,446
04568,443
04746,429
04777,427
04017,415
04571,402
04261,402
04766,395
04693,393
04275,374
04216,371
04285,369
04768,359
04056,345
03579,344
04417,334
04677,327
04691,325
04003,324
04657,313
04779,310
04478,309
04918,307
03910,294
04359,286
04497,283
04050,282
04231,279
04415,269
04490,266
04650,264
04673,225
04733,224
04489,221
04485,208
04413,199
04226,197
04855,195
04451,194
04669,192
04962,190
04675,187
04936,186
04624,185
04237,175
04637,155
04006,154
04491,146
04492,145
04992,142
04408,139
04227,130
04686,129
04964,127
04558,121
04683,104
04109,100
04926,96
04925,89
04851,82
04642,82
04613,78
04625,77
04575,70
04646,65
04234,63
04057,63
04267,62
03911,52
04985,52
04286,50
04431,42
04541,41
04852,38
04944,37
04764,30
04645,26
04454,26
04933,24
04019,23
04442,22
04343,16
04635,12
04741,4